antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"root vegetables, citrus fruit",other vegetables,0.017691916624300967,0.1934926283680732,0.010371123538383325,0.5862068965517241,3.0296084222733612,1.0,0.006947868089878522,1.9490594814438227,0.6819900509629376,0.051645569620253164,0.4869320256664405,0.3199032380814322
"root vegetables, tropical fruit",other vegetables,0.021047280122013217,0.1934926283680732,0.012302999491611592,0.5845410628019324,3.020999134344196,1.0,0.008230505940804154,1.941244487532661,0.6833666956226159,0.06083459024635496,0.48486653462645046,0.3240624389154171
"curd, yogurt",whole milk,0.01728520589730554,0.25551601423487547,0.010066090493136757,0.5823529411764706,2.27912502048173,1.0,0.005649443577028081,1.7825672898601574,0.5711068261507993,0.03831269349845202,0.43901135980204703,0.310874043210599
"butter, other vegetables",whole milk,0.020030503304524657,0.25551601423487547,0.011489578037620742,0.5736040609137055,2.2448849737709087,1.0,0.0063714636701301,1.7459922047110656,0.5658776928345945,0.04351174432036965,0.4272597567722335,0.30928511839955075
"root vegetables, tropical fruit",whole milk,0.021047280122013217,0.25551601423487547,0.011997966446365024,0.570048309178744,2.230969009459987,1.0,0.006620049319103283,1.7315526410492226,0.5636270975192411,0.045349730976172176,0.42248362752976615,0.3085020694321894
"root vegetables, yogurt",whole milk,0.025826131164209457,0.25551601423487547,0.014539908490086425,0.562992125984252,2.2033535849801504,1.0,0.00794091839190052,1.7035939854445192,0.5606251592056831,0.05449695121951218,0.4130056759157495,0.3099481123355402
"domestic eggs, other vegetables",whole milk,0.02226741230299949,0.25551601423487547,0.012302999491611592,0.5525114155251142,2.1623357627097084,1.0,0.006613319052624533,1.663693804924105,0.5497792934640613,0.046342397548831855,0.3989278573735998,0.3003305187454461
"whipped/sour cream, yogurt",whole milk,0.02074224707676665,0.25551601423487547,0.010879511947127605,0.5245098039215685,2.0527472827571134,1.0,0.0055795356477971935,1.5657188978977874,0.5237109140363525,0.040996168582375474,0.36131575000937266,0.283544197623339
"root vegetables, rolls/buns",whole milk,0.024300965937976614,0.25551601423487547,0.012709710218607015,0.5230125523012552,2.04688756541299,1.0,0.006500424260077759,1.5608041455953048,0.524191746561067,0.0475827940616673,0.3593046233109594,0.2863769486536121
"pip fruit, other vegetables",whole milk,0.026131164209456024,0.25551601423487547,0.013523131672597865,0.5175097276264592,2.0253514409893456,1.0,0.006846200746480632,1.543003099529331,0.5198426217977603,0.05043610163064088,0.3519131618691923,0.2852172593564051
"tropical fruit, yogurt",whole milk,0.029283172343670564,0.25551601423487547,0.015149974580579562,0.517361111111111,2.0247698081089442,1.0,0.007667655099171922,1.5425279705061572,0.5213844891715518,0.056184012066364995,0.3517135383471425,0.288326397179113
"yogurt, other vegetables",whole milk,0.04341637010676157,0.25551601423487547,0.02226741230299949,0.5128805620608898,2.0072345116867694,1.0,0.01117383446077358,1.528339720777443,0.5245773537725591,0.0804851157662624,0.3456952100339868,0.3000136992556737
"whipped/sour cream, other vegetables",whole milk,0.02887646161667514,0.25551601423487547,0.014641586171835282,0.5070422535211268,1.9843854211620697,1.0,0.007263187794336082,1.5102389425521097,0.5108162030735582,0.054278175650207316,0.33785312255944844,0.2821721414840015
"root vegetables, rolls/buns",other vegetables,0.024300965937976614,0.1934926283680732,0.012201321809862735,0.502092050209205,2.5948898128258175,1.0,0.0074992640386406205,1.61979211613471,0.6299352160622481,0.05934718100890208,0.38263682725763126,0.2825751895817439
"root vegetables, yogurt",other vegetables,0.025826131164209457,0.1934926283680732,0.012913065582104729,0.5,2.5840777719390435,1.0,0.007915899582563234,1.6130147432638535,0.6292662561319278,0.06256157635467981,0.38004286434694906,0.2833683657383079
"fruit/vegetable juice, other vegetables",whole milk,0.021047280122013217,0.25551601423487547,0.01047280122013218,0.4975845410628019,1.9473712540201578,1.0,0.00509488409287044,1.4818094716671228,0.4969466079920619,0.039358043561329756,0.3251494074505131,0.26928570467386015
butter,whole milk,0.05541433655312659,0.25551601423487547,0.02755465175394001,0.4972477064220184,1.9460530014566455,1.0,0.013395401346415137,1.4808166870145727,0.5146588602592161,0.0972371725870111,0.3246969670391356,0.30254347119747954
curd,whole milk,0.05327910523640061,0.25551601423487547,0.026131164209456024,0.4904580152671756,1.9194805332879712,1.0,0.012517499597450459,1.4610846761832408,0.5059840939568988,0.09244604316546762,0.31557697079386393,0.2963631102997239
"whipped/sour cream, yogurt",other vegetables,0.02074224707676665,0.1934926283680732,0.010167768174885612,0.4901960784313725,2.5334095803323953,1.0,0.006154296269742049,1.5819952289703176,0.6180957325303705,0.04982561036372695,0.36788684207924205,0.27137234294663737
"root vegetables, other vegetables",whole milk,0.047381799694966954,0.25551601423487547,0.023182511438739197,0.4892703862660944,1.9148325702057454,1.0,0.011075702833406004,1.4576871317922186,0.5015242503740406,0.08287895310796073,0.31398173298648435,0.2899992997784909
"tropical fruit, other vegetables",whole milk,0.035892221657346214,0.25551601423487547,0.01708185053380783,0.47592067988668557,1.862586504849006,1.0,0.00791081311388805,1.4205559295950754,0.48035312521971446,0.06226834692364714,0.2960502440160547,0.27138652378735395
