default,student,balance,income
No,No,1574.88,57206.07
No,No,2050.63,56787.76
Yes,No,488.55,42572.55
No,No,1427.6,58452.98
No,Yes,1320.5,55452.24
No,Yes,1073.97,65224.76
No,No,1631.24,41111.67
No,No,970.19,15992.98
No,No,1814.87,53211.01
No,No,1239.87,43348.83
No,Yes,1852.73,21576.31
No,No,1549.55,10250.97
No,Yes,1081.65,58043.04
No,No,1588.68,42243.74
Yes,No,1299.46,26484.11
No,No,1476.24,47369.15
No,No,1245.57,34343.91
No,Yes,1630.9,32328.48
No,No,1019.87,43540.49
No,No,1288.47,54368.21
No,No,1372.93,39824.94
No,No,994.3,56379.23
No,No,1760.05,34709.59
No,No,1705.54,67193.53
No,Yes,800.93,38291.64
No,No,1806.26,43596.93
No,No,1960.06,25155.87
No,No,1038.9,85367.49
No,Yes,1430.8,64667.42
No,No,1075.21,28079.39
No,No,473.01,23028.48
No,No,1733.06,52141.34
No,No,1132.51,42594.78
No,No,1581.6,57036.02
No,No,1098.53,39005.51
No,Yes,1007.82,47907.19
No,Yes,996.44,62025.06
No,No,1541.21,72161.03
Yes,Yes,2274.01,30867.4
No,No,1398.07,31307.54
No,No,1762.45,63609.13
No,No,1162.3,35312.96
No,No,1238.35,37582.82
No,No,1710.73,61677.95
No,Yes,886.9,29646.27
No,Yes,1480.29,45924.75
No,No,1630.96,38155.49
No,No,1487.62,60359.04
No,Yes,1242.65,54031.76
No,Yes,1341.75,51643.72
Yes,Yes,842.08,60824.97
No,No,569.9,53453.76
No,No,1352.98,58326.74
No,No,1146.61,40164.49
No,No,1996.8,77468.2
No,No,1384.13,34364.64
No,No,1802.69,44843.84
No,No,1033.13,46710.46
No,No,1107.8,40333.52
No,Yes,1880.72,14586.65
No,No,2231.15,19351.47
No,No,1574.77,59680.08
No,No,1814.76,76205.16
No,No,2095.83,26794.52
No,No,1796.1,51709.21
No,No,1603.02,51800.97
No,Yes,1207.59,34498.29
No,Yes,2164.18,54127.18
No,No,1923.42,16398.53
No,Yes,1628.29,50414.25
No,No,1769.79,63552.56
No,No,1603.57,48635.57
No,No,2233.0,27890.71
No,No,1776.27,52691.35
No,No,1586.78,55729.4
No,Yes,1005.34,47219.44
No,Yes,1870.05,50940.8
No,No,2144.0,28319.66
No,No,1770.41,55142.15
No,No,1528.6,53552.3
No,No,1198.05,56224.31
No,No,1470.7,1808.21
No,No,1310.18,33027.3
No,No,2112.91,-3039.63
No,No,1581.14,54535.17
No,Yes,1418.7,36213.12
No,No,1705.65,41151.09
No,No,1386.76,63494.31
No,Yes,2022.87,42765.29
No,No,1264.98,32406.92
No,No,2525.14,43554.51
No,No,2126.26,31643.06
No,No,1340.14,40798.46
No,Yes,1189.49,43037.07
No,No,1328.19,59750.04
No,Yes,1147.95,68918.65
No,Yes,1200.87,65173.42
No,No,1598.08,48607.63
Yes,No,2178.48,39507.43
No,No,1884.59,48511.48
No,No,1553.99,41521.9
No,No,1412.9,29814.36
No,Yes,1296.02,35731.36
No,No,1436.76,70307.39
No,No,1542.4,42633.02
No,Yes,1737.9,44672.95
Yes,No,1594.34,27845.97
No,No,864.13,12685.7
No,No,1185.46,40011.15
No,No,1756.44,73335.89
No,No,1872.23,36027.13
No,No,1430.04,36793.33
No,Yes,1300.12,38088.49
No,No,1188.78,32721.69
No,No,2111.28,53322.53
No,No,1554.89,43114.54
No,No,1466.6,60005.98
No,No,1575.76,23604.58
No,No,1313.95,29702.18
No,No,1010.31,15944.61
Yes,No,1523.92,56895.96
Yes,No,1465.78,53422.21
Yes,No,993.8,55332.55
No,No,1990.52,29179.19
No,No,1902.16,27003.43
No,No,1555.47,29369.2
No,No,1358.75,45955.38
No,No,1233.98,31258.27
No,Yes,1194.5,37652.58
No,Yes,1688.27,26290.22
No,Yes,1360.69,42631.26
No,No,1299.83,30349.7
No,No,2157.5,52495.67
Yes,No,1292.72,60173.51
No,No,352.44,51663.05
No,No,1046.85,38121.23
No,No,1951.01,73585.97
No,No,1769.01,36378.67
No,No,1471.5,50274.45
No,Yes,1618.47,36426.93
No,No,1373.86,55430.38
No,Yes,1433.87,46859.35
No,No,1100.52,48348.19
No,No,1639.78,45355.03
No,No,1589.15,61895.1
No,No,1901.51,55643.52
No,Yes,1533.67,60116.88
No,No,1416.11,39472.22
No,Yes,1109.68,36315.9
Yes,No,1499.32,27722.41
No,No,989.1,38039.31
No,No,803.83,54447.21
No,No,1231.47,20425.15
No,No,1749.26,34702.85
No,No,724.02,46229.51
No,No,1815.21,66993.64
No,No,1804.87,30871.61
No,Yes,1075.17,56968.51
No,No,1434.27,39773.36
No,No,1700.15,40328.5
No,No,1644.08,65797.53
No,No,1487.14,57232.36
No,No,1316.9,43069.68
No,Yes,1261.41,60555.11
No,No,1227.28,47812.37
Yes,Yes,1278.37,46247.29
No,No,1643.68,55656.49
No,Yes,1589.57,59384.54
No,No,1160.21,37830.07
No,Yes,1627.44,40436.56
No,No,1929.32,54350.72
No,Yes,2441.97,53437.94
No,No,787.5,48083.61
No,No,1433.44,34978.57
No,No,1431.67,46672.91
No,No,1699.79,48066.76
No,No,1157.1,46300.18
No,No,1953.34,44115.29
No,No,1434.63,27053.55
No,Yes,855.51,47585.82
No,Yes,1374.79,36684.32
No,No,1135.72,26751.16
No,No,1841.47,5396.74
No,No,951.26,40882.07
No,No,1094.62,49535.53
No,No,2195.29,40654.47
No,Yes,1383.06,21835.05
No,Yes,701.5,32335.03
No,No,1165.1,35773.07
No,Yes,1626.6,55596.09
No,Yes,1037.41,78309.7
No,Yes,1477.45,55276.47
No,No,1630.4,57193.97
No,No,1114.92,47137.68
No,Yes,1427.57,41972.3
No,Yes,1880.92,28709.63
Yes,Yes,1365.18,40892.13
No,Yes,991.13,55087.16
No,No,1216.53,40088.42
No,Yes,1169.87,53279.52
No,No,1706.84,52025.76
No,No,955.44,58705.1
No,No,1239.12,55379.39
No,Yes,1776.77,54391.0
No,No,1386.91,30306.64
No,Yes,1679.6,44836.79
No,Yes,869.71,53338.09
No,No,2243.84,35991.81
No,No,1602.09,34200.59
No,Yes,1815.54,41814.27
No,No,1083.58,14965.7
No,No,1095.7,48265.93
No,No,944.86,59536.25
No,No,923.01,40651.33
No,No,1278.76,50373.58
No,Yes,993.21,56189.96
Yes,Yes,1659.52,54244.87
No,No,1475.53,42853.52
No,No,914.69,39567.49
Yes,No,748.62,61287.42
No,Yes,1761.99,42371.35
No,No,1511.39,39657.43
No,No,868.24,65431.5
No,No,2365.99,48854.89
No,No,1177.18,41241.31
No,No,1667.79,55823.66
No,No,1275.72,48268.12
No,No,1050.22,66090.0
No,No,1447.2,56589.44
No,No,1720.92,39887.44
No,No,1667.32,43600.77
No,No,1320.98,27723.14
No,Yes,1219.37,42275.14
